rq,table_name,row_id,column_name,paper_value,artifact_value,match
RQ1,results-synthesis,Antisymmetric,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,E2A/pro/Cor,20,20,true
RQ1,results-synthesis,Antisymmetric,E2A/pro/Syn,0,0,true
RQ1,results-synthesis,Antisymmetric,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Antisymmetric,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,E2A/flash/Cor,18,18,true
RQ1,results-synthesis,Antisymmetric,E2A/flash/Syn,2,2,true
RQ1,results-synthesis,Antisymmetric,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Antisymmetric,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,E2A/lite/Cor,18,18,true
RQ1,results-synthesis,Antisymmetric,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Antisymmetric,E2A/lite/Sem,2,2,true
RQ1,results-synthesis,Antisymmetric,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,A2A/pro/Cor,18,18,true
RQ1,results-synthesis,Antisymmetric,A2A/pro/Syn,2,2,true
RQ1,results-synthesis,Antisymmetric,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Antisymmetric,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,A2A/flash/Cor,18,18,true
RQ1,results-synthesis,Antisymmetric,A2A/flash/Syn,2,2,true
RQ1,results-synthesis,Antisymmetric,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Antisymmetric,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Antisymmetric,A2A/lite/Cor,19,19,true
RQ1,results-synthesis,Antisymmetric,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,Antisymmetric,A2A/lite/Sem,0,0,true
RQ1,results-synthesis,Circular,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Circular,E2A/pro/Cor,10,10,true
RQ1,results-synthesis,Circular,E2A/pro/Syn,0,0,true
RQ1,results-synthesis,Circular,E2A/pro/Sem,10,10,true
RQ1,results-synthesis,Circular,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Circular,E2A/flash/Cor,10,10,true
RQ1,results-synthesis,Circular,E2A/flash/Syn,1,1,true
RQ1,results-synthesis,Circular,E2A/flash/Sem,9,9,true
RQ1,results-synthesis,Circular,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Circular,E2A/lite/Cor,6,6,true
RQ1,results-synthesis,Circular,E2A/lite/Syn,1,1,true
RQ1,results-synthesis,Circular,E2A/lite/Sem,13,13,true
RQ1,results-synthesis,Circular,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Circular,A2A/pro/Cor,20,20,true
RQ1,results-synthesis,Circular,A2A/pro/Syn,0,0,true
RQ1,results-synthesis,Circular,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Circular,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Circular,A2A/flash/Cor,15,15,true
RQ1,results-synthesis,Circular,A2A/flash/Syn,5,5,true
RQ1,results-synthesis,Circular,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Circular,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Circular,A2A/lite/Cor,11,11,true
RQ1,results-synthesis,Circular,A2A/lite/Syn,0,0,true
RQ1,results-synthesis,Circular,A2A/lite/Sem,9,9,true
RQ1,results-synthesis,Connex,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Connex,E2A/pro/Cor,20,20,true
RQ1,results-synthesis,Connex,E2A/pro/Syn,0,0,true
RQ1,results-synthesis,Connex,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Connex,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Connex,E2A/flash/Cor,20,20,true
RQ1,results-synthesis,Connex,E2A/flash/Syn,0,0,true
RQ1,results-synthesis,Connex,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Connex,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Connex,E2A/lite/Cor,2,2,true
RQ1,results-synthesis,Connex,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Connex,E2A/lite/Sem,18,18,true
RQ1,results-synthesis,Connex,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Connex,A2A/pro/Cor,20,20,true
RQ1,results-synthesis,Connex,A2A/pro/Syn,0,0,true
RQ1,results-synthesis,Connex,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Connex,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Connex,A2A/flash/Cor,20,20,true
RQ1,results-synthesis,Connex,A2A/flash/Syn,0,0,true
RQ1,results-synthesis,Connex,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Connex,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Connex,A2A/lite/Cor,14,14,true
RQ1,results-synthesis,Connex,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,Connex,A2A/lite/Sem,5,5,true
RQ1,results-synthesis,Cycle,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Cycle,E2A/pro/Cor,18,18,true
RQ1,results-synthesis,Cycle,E2A/pro/Syn,2,2,true
RQ1,results-synthesis,Cycle,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Cycle,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Cycle,E2A/flash/Cor,20,20,true
RQ1,results-synthesis,Cycle,E2A/flash/Syn,0,0,true
RQ1,results-synthesis,Cycle,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Cycle,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Cycle,E2A/lite/Cor,12,12,true
RQ1,results-synthesis,Cycle,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Cycle,E2A/lite/Sem,8,8,true
RQ1,results-synthesis,Cycle,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Cycle,A2A/pro/Cor,20,20,true
RQ1,results-synthesis,Cycle,A2A/pro/Syn,0,0,true
RQ1,results-synthesis,Cycle,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Cycle,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Cycle,A2A/flash/Cor,17,17,true
RQ1,results-synthesis,Cycle,A2A/flash/Syn,2,2,true
RQ1,results-synthesis,Cycle,A2A/flash/Sem,1,1,true
RQ1,results-synthesis,Cycle,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Cycle,A2A/lite/Cor,18,18,true
RQ1,results-synthesis,Cycle,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,Cycle,A2A/lite/Sem,1,1,true
RQ1,results-synthesis,DAG,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,DAG,E2A/pro/Cor,18,18,true
RQ1,results-synthesis,DAG,E2A/pro/Syn,2,2,true
RQ1,results-synthesis,DAG,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,DAG,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,DAG,E2A/flash/Cor,19,19,true
RQ1,results-synthesis,DAG,E2A/flash/Syn,1,1,true
RQ1,results-synthesis,DAG,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,DAG,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,DAG,E2A/lite/Cor,16,16,true
RQ1,results-synthesis,DAG,E2A/lite/Syn,1,1,true
RQ1,results-synthesis,DAG,E2A/lite/Sem,3,3,true
RQ1,results-synthesis,DAG,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,DAG,A2A/pro/Cor,17,17,true
RQ1,results-synthesis,DAG,A2A/pro/Syn,3,3,true
RQ1,results-synthesis,DAG,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,DAG,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,DAG,A2A/flash/Cor,19,19,true
RQ1,results-synthesis,DAG,A2A/flash/Syn,1,1,true
RQ1,results-synthesis,DAG,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,DAG,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,DAG,A2A/lite/Cor,16,16,true
RQ1,results-synthesis,DAG,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,DAG,A2A/lite/Sem,3,3,true
RQ1,results-synthesis,Function,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Function,E2A/pro/Cor,20,20,true
