rq,table_name,row_id,column_name,value
RQ1,results-synthesis,Antisymmetric,E2A/pro/Unique,20
RQ1,results-synthesis,Antisymmetric,E2A/pro/Cor,20
RQ1,results-synthesis,Antisymmetric,E2A/pro/Syn,0
RQ1,results-synthesis,Antisymmetric,E2A/pro/Sem,0
RQ1,results-synthesis,Antisymmetric,E2A/flash/Unique,20
RQ1,results-synthesis,Antisymmetric,E2A/flash/Cor,18
RQ1,results-synthesis,Antisymmetric,E2A/flash/Syn,2
RQ1,results-synthesis,Antisymmetric,E2A/flash/Sem,0
RQ1,results-synthesis,Antisymmetric,E2A/lite/Unique,20
RQ1,results-synthesis,Antisymmetric,E2A/lite/Cor,18
RQ1,results-synthesis,Antisymmetric,E2A/lite/Syn,0
RQ1,results-synthesis,Antisymmetric,E2A/lite/Sem,2
RQ1,results-synthesis,Antisymmetric,A2A/pro/Unique,20
RQ1,results-synthesis,Antisymmetric,A2A/pro/Cor,18
RQ1,results-synthesis,Antisymmetric,A2A/pro/Syn,2
RQ1,results-synthesis,Antisymmetric,A2A/pro/Sem,0
RQ1,results-synthesis,Antisymmetric,A2A/flash/Unique,20
RQ1,results-synthesis,Antisymmetric,A2A/flash/Cor,18
RQ1,results-synthesis,Antisymmetric,A2A/flash/Syn,2
RQ1,results-synthesis,Antisymmetric,A2A/flash/Sem,0
RQ1,results-synthesis,Antisymmetric,A2A/lite/Unique,20
RQ1,results-synthesis,Antisymmetric,A2A/lite/Cor,19
RQ1,results-synthesis,Antisymmetric,A2A/lite/Syn,1
RQ1,results-synthesis,Antisymmetric,A2A/lite/Sem,0
RQ1,results-synthesis,Circular,E2A/pro/Unique,20
RQ1,results-synthesis,Circular,E2A/pro/Cor,10
RQ1,results-synthesis,Circular,E2A/pro/Syn,0
RQ1,results-synthesis,Circular,E2A/pro/Sem,10
RQ1,results-synthesis,Circular,E2A/flash/Unique,20
RQ1,results-synthesis,Circular,E2A/flash/Cor,10
RQ1,results-synthesis,Circular,E2A/flash/Syn,1
RQ1,results-synthesis,Circular,E2A/flash/Sem,9
RQ1,results-synthesis,Circular,E2A/lite/Unique,20
RQ1,results-synthesis,Circular,E2A/lite/Cor,6
RQ1,results-synthesis,Circular,E2A/lite/Syn,1
RQ1,results-synthesis,Circular,E2A/lite/Sem,13
RQ1,results-synthesis,Circular,A2A/pro/Unique,20
RQ1,results-synthesis,Circular,A2A/pro/Cor,20
RQ1,results-synthesis,Circular,A2A/pro/Syn,0
RQ1,results-synthesis,Circular,A2A/pro/Sem,0
RQ1,results-synthesis,Circular,A2A/flash/Unique,20
RQ1,results-synthesis,Circular,A2A/flash/Cor,15
RQ1,results-synthesis,Circular,A2A/flash/Syn,5
RQ1,results-synthesis,Circular,A2A/flash/Sem,0
RQ1,results-synthesis,Circular,A2A/lite/Unique,20
RQ1,results-synthesis,Circular,A2A/lite/Cor,11
RQ1,results-synthesis,Circular,A2A/lite/Syn,0
RQ1,results-synthesis,Circular,A2A/lite/Sem,9
RQ1,results-synthesis,Connex,E2A/pro/Unique,20
RQ1,results-synthesis,Connex,E2A/pro/Cor,20
RQ1,results-synthesis,Connex,E2A/pro/Syn,0
RQ1,results-synthesis,Connex,E2A/pro/Sem,0
RQ1,results-synthesis,Connex,E2A/flash/Unique,20
RQ1,results-synthesis,Connex,E2A/flash/Cor,20
RQ1,results-synthesis,Connex,E2A/flash/Syn,0
RQ1,results-synthesis,Connex,E2A/flash/Sem,0
RQ1,results-synthesis,Connex,E2A/lite/Unique,20
RQ1,results-synthesis,Connex,E2A/lite/Cor,2
RQ1,results-synthesis,Connex,E2A/lite/Syn,0
RQ1,results-synthesis,Connex,E2A/lite/Sem,18
