row,E2A/pro/Unique,E2A/pro/Cor,E2A/pro/Syn,E2A/pro/Sem,E2A/flash/Unique,E2A/flash/Cor,E2A/flash/Syn,E2A/flash/Sem,E2A/lite/Unique,E2A/lite/Cor,E2A/lite/Syn,E2A/lite/Sem,A2A/pro/Unique,A2A/pro/Cor,A2A/pro/Syn,A2A/pro/Sem,A2A/flash/Unique,A2A/flash/Cor,A2A/flash/Syn,A2A/flash/Sem,A2A/lite/Unique,A2A/lite/Cor,A2A/lite/Syn,A2A/lite/Sem
Antisymmetric,20,20,0,0,20,18,2,0,20,18,0,2,20,18,2,0,20,18,2,0,20,19,1,0
Circular,20,10,0,10,20,10,1,9,20,6,1,13,20,20,0,0,20,15,5,0,20,11,0,9
Connex,20,20,0,0,20,20,0,0,20,2,0,18,20,20,0,0,20,20,0,0,20,14,1,5
Cycle,20,18,2,0,20,20,0,0,20,12,0,8,20,20,0,0,20,17,2,1,20,18,1,1
DAG,20,18,2,0,20,19,1,0,20,16,1,3,20,17,3,0,20,19,1,0,20,16,1,3
Function,20,20,0,0,20,18,0,2,20,19,1,0,20,19,1,0,20,18,1,1,20,16,2,2
Functional,20,16,0,4,20,15,0,5,20,11,4,5,20,15,0,5,20,15,0,5,20,12,6,2
Irreflexive,20,18,2,0,20,17,3,0,20,18,0,2,20,18,2,0,20,18,2,0,20,15,2,3
Reflexive,20,20,0,0,20,19,1,0,20,18,0,2,20,19,1,0,20,19,1,0,20,16,1,3
Symmetric,20,18,2,0,20,19,1,0,20,18,0,2,20,18,2,0,20,20,0,0,20,18,0,2
Transitive,20,19,1,0,20,17,3,0,20,16,0,4,20,19,1,0,20,19,1,0,20,13,1,6
