some n: Node | n in n.link or some n.link.^(link)
some n: Node | n in ^(link).n
some n: Node | n.^link & n != none
some n: Node | n in n.^link and n in n.^link
some n: Node | some (n.^link & n)
some n: Node | n in (n.link + n.link.^link)
some n: Node | n in n.link.^link or n in n.link
some n: Node | not (n.^link & n = none)
some n: Node | n in n.^link and no (n.^link - n.^link)
some n: Node | n in n.link or some n: Node | n in n.link.^link
some n: Node | not (n.^link in (Node - n))
some n: Node | n in n.^(link)
some n: Node | some m: Node | m in n.link and n in m.^link
some n: Node | n.^link & n = n
some n: Node | n.^link = n.^link + n
some n: Node | n in n.^link and n.^link = n.^link
some n: Node | n not in (Node - n.^link)
some n: Node | n.^link & n != none and n.^link = n.^link
some n: Node | n in n.link or some n.link & ^(link)
some n: Node | n in n.link.^(link)
