r.r in r
^r in r
^r = r
no r.r - r
r.r - r = none
r + r.r = r
r.r & r = r.r
(~r).(~r) in ~r
^(~r) in ~r
all s: S | s.r.r in s.r
all s: S, t: s.r | t.r in s.r
no s, t, u: S | s->t in r and t->u in r and s->u not in r
all s, t, u: S | s->u not in r implies s->t not in r or t->u not in r
all s, t: S | s->t in r.r implies s->t in r
all s: S | s.^r in s.r
all s, t, u: S | t in s.r and u in t.r implies u in s.r
all s: S, t: s.r, u: t.r | u in s.r
{s, u: S | some t: S | s->t in r and t->u in r} in r
all s, t: S | t in s.r.r implies t in s.r
no s: S | some s.r.r - s.r
